4:27 | Johnny Average: Yo
4:28 | (New member) No Body: :_oha::_dayo::_kita:
4:30 | (New member) Yamoyashi: :_oha::_dayo::_kita:
4:30 | (Member (1 month)) Margrave: Fine fine.
4:31 | (New member) XenMaster220: It's good to be back
4:32 | (Member (1 month)) Cave Johnson: You were late, explain yourself
4:32 | (Member (1 month)) Canna: I love my mentally stable and always-on-time daughter! 
4:34 | Sheep: eu dad here
4:35 | (Member (1 month)) CantDood: :_oha::_dayo:
4:35 | (Member (1 month)) gyroninja: America
4:37 | (New member) Lodowa Wrozka: eurodads...
4:38 | (Member (1 month)) Mister Eko: the eurobros won't be defeated
4:38 | madvideogamer: beatani belongs to america
4:38 | (Member (1 month)) Ekusupuroshon: Yurobros...
4:38 | (New member) Pope Boi: Good morning bea
4:41 | (New member) Yamoyashi: sea bros breh
4:41 | (Member (1 month)) Rye Mountain: I'm fine
4:42 | Andrew Ryan: burger reporting in
4:45 | (Member (1 month)) Zhnigo: 3 am here I'm dying thanks
4:45 | (New member) A A: Burger time.
4:46 | (Member (1 month)) The Pope: EU dads watching this rn, I kneel
4:46 | (New member) Vitz: Yes!
4:46 | (Member (1 month)) anonEDM: European no sleep dads
4:47 | (Member (1 month)) Tianfang's Adventures: :_love:
4:47 | (Member (1 month)) Stray Wolf: I'm latin american
4:48 | (New member) Ark K.: fine
4:48 | (New member) No Body: hell yeah
4:50 | (Member (1 month)) Spicy Grandpa: UK chads represent
4:50 | Nick Cage: Мы здесь
4:50 | (Member (1 month)) LassesAffar: swedendad reporting
4:50 | (Member (1 month)) LapanNaxela: slept well
4:51 | (Member (1 month)) Margrave: Euro dads are dying...
4:52 | (Member (1 month)) Transcendental_ColonThree: 2am like a middle of the day lets gooo
4:52 | (New member) Vic Kyorlo: sleepy... going to go to bed listenig to bea suffer
4:55 | (New member) WizJR W: burger
4:55 | (Member (1 month)) Ludd: yuro dads, faito!
4:56 | (Member (1 month)) Moeniki: Good luck
4:56 | stuffed idiot: sorry eubros, she's america's polar bear now
4:57 | (Member (1 month)) max r: awake eurodads
5:01 | (New member) Pine: euros keep losing lmao
5:02 | (Member (1 month)) Mew: :_listener:
5:02 | (New member) Pope Boi: americachads represent 
5:10 | (Member (1 month)) Canna: Beatani vs. ADHD 
5:15 | (Member (1 month)) Stray Wolf: derail 
5:18 | (New member) Yamoyashi: stay awake euro dads
5:18 | (Member (1 month)) Tachi: 🛤:_away:
