-1:57:08 | SpaceTalon: YYYYYAAAAAAAAAAAAAHHHHHHHHHHHHHH
3:24 | (New member) Matthew: Bye bye dad
3:25 | GBSword: :chillwdog:cring
3:25 | (New member) gyroninja: listener-kun AWAY
3:25 | (New member) Verijero: 😚😚😍😍😍😍😍😍
3:26 | (New member) david johnston: my sides
3:26 | (New member) Peer: F
3:27 | (New member) Moeniki: RIP listener-kun...
3:30 | (New member) Mister Eko: HERO
3:31 | (New member) MBmasher: rip
3:33 | (New member) Cave Johnson: Adios
3:34 | (New member) Ludd: あばよ　listenerくん
3:34 | (New member) ユーネ: AWAY
3:35 | (New member) Lazm: RIP
3:35 | Shaddox: The bear is on tiime!
3:35 | eeo: a sacrifice to appease the ojisan
3:35 | (New member) Rye Mountain: F ojisan
3:37 | (New member) Margrave: Oji's AWAY 
3:40 | stuffed idiot: 👴AWAY
3:42 | (New member) Stray Wolf: ojisan AWAY 
3:43 | (New member) BasedBug: Listener-chan.. was a hero..
3:43 | (New member) Ekusupuroshon: We got too cocky bros...
3:44 | (New member) Canna: Gone but not forgotten 
3:45 | (New member) Cave Johnson: Gone but not forgotten
3:47 | (New member) Lazm: He was too cringe for this world.
3:49 | (New member) Ark K.: listener chan turned into oji sans
3:53 | (New member) ThatVidyaGuy: F
3:54 | (New member) Suukotto Funsha: RIP Ojisans
3:58 | (New member) Moeniki: :_oha::_dayo:
3:58 | (New member) Kaiser Kebab: :_oha::_dayo::_oha::_dayo::_oha::_dayo:
4:00 | (New member) Rye Mountain: :_oha::_dayo:
4:01 | (New member) LassesAffar: :_oha::_dayo:
4:01 | (New member) Sol Codguy: :_oha::_dayo:
4:02 | (New member) ThatVidyaGuy: :_oha::_dayo:
4:02 | (New member) XeniVari: Ohadayo!
4:02 | (New member) CantDood: の
4:03 | (New member) MBmasher: :_oha::_dayo:
4:05 | (New member) 77Yuja_: listener oji
4:06 | (New member) The Flesh Is Weak: ogadayo:_sprdo:
4:06 | (New member) Cave Johnson: :_oha::_dayo:
4:06 | (New member) Steven Frati: :_oha::_dayo:
4:07 | (New member) TWAIN: :_oha::_bea:
4:08 | Mizuki Arisu: Ojisan discord btfo
4:08 | stuffed idiot: おはだよ！
4:09 | (New member) Margrave: :_oha::_dayo:
4:09 | (New member) Zyadarya: :_oha::_dayo:
4:11 | (New member) Theblekedet: :_oha::_dayo:□:_bea:
4:11 | (New member) XenMaster220: F to the ojis
4:11 | (New member) Mister Eko: Listener...
4:12 | (New member) Stray Wolf: :_oha::_dayo:
4:14 | (New member) Canna: :_oha::_dayo:
4:16 | (New member) Kyle: :_oha::_dayo:
4:17 | (New member) Ekigo: :_oha::_dayo:
4:18 | (New member) david johnston: :_oha::_dayo:
